ダウンロードした時刻：2025/07/30 16:40:21

,,酒田,酒田,酒田,にかほ,にかほ,にかほ,飛島,飛島,飛島,札幌,札幌,札幌,山形,山形,山形
年,月,日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2002,5,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2002,6,0,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2002,7,2,8,1,0,8,1,0,8,1,0,8,1,2,8,1
2002,8,1,8,1,0,8,1,0,8,1,0,8,1,5,8,1
2002,9,1,8,1,0,8,1,0,8,1,0,8,1,0,8,1
2003,5,0,8,1,0,8,2,0,5,2,0,8,1,0,8,1
2003,6,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2003,7,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2003,8,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2003,9,0,8,1,1,8,2,0,8,2,0,8,1,0,8,1
2004,5,0,8,1,0,8,2,0,5,2,0,8,1,0,8,1
2004,6,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2004,7,3,8,1,0,8,2,0,8,2,0,8,1,4,8,1
2004,8,3,8,1,0,8,2,0,8,2,0,8,1,5,8,1
2004,9,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2005,5,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2005,6,0,8,1,0,5,2,0,8,2,0,8,1,0,8,1
2005,7,0,8,1,0,5,2,0,8,2,0,8,1,0,8,1
2005,8,0,8,1,0,5,2,0,8,2,0,8,1,4,8,1
2005,9,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2006,5,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2006,6,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2006,7,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2006,8,4,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2006,9,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2007,5,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2007,6,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2007,7,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2007,8,2,8,1,1,8,2,0,8,2,0,8,1,7,8,1
2007,9,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2008,5,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2008,6,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2008,7,0,8,1,0,8,2,0,5,2,0,8,1,1,8,1
2008,8,0,8,1,0,8,2,0,8,2,0,8,1,1,8,1
2008,9,0,8,1,0,8,2,0,8,2,0,8,1,0,8,1
2009,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2009,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2009,7,0,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2009,8,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2009,9,0,5,1,0,8,3,0,8,3,0,8,1,0,8,1
2010,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2010,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2010,7,0,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2010,8,0,8,1,0,8,3,0,8,3,0,8,1,6,8,1
2010,9,0,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2011,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2011,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2011,7,0,8,1,0,8,3,0,8,3,0,8,1,2,8,1
2011,8,1,5,1,0,8,3,0,8,3,0,8,1,2,5,1
2011,9,1,8,1,1,8,3,0,8,3,0,8,1,0,8,1
2012,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2012,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2012,7,0,8,1,0,8,3,0,8,3,0,8,1,5,8,1
2012,8,1,8,1,0,8,3,0,8,3,0,8,1,10,8,1
2012,9,2,8,1,1,8,3,0,8,3,0,8,1,1,8,1
2013,5,0,5,1,0,8,3,0,8,3,0,8,1,0,8,1
2013,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2013,7,0,8,1,0,8,3,0,5,3,0,8,1,0,8,1
2013,8,0,8,1,0,8,3,0,4,3,0,8,1,5,8,1
2013,9,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2014,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2014,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2014,7,1,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2014,8,0,8,1,0,8,3,0,8,3,0,8,1,6,8,1
2014,9,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2015,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2015,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2015,7,1,8,1,0,8,3,0,8,3,0,8,1,5,8,1
2015,8,0,8,1,0,8,3,0,8,3,0,8,1,7,8,1
2015,9,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2016,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2016,6,0,8,1,0,8,3,0,5,3,0,8,1,0,8,1
2016,7,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2016,8,2,8,1,0,8,3,0,5,3,0,8,1,2,8,1
2016,9,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2017,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2017,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2017,7,0,8,1,0,8,3,0,8,3,0,8,1,4,8,1
2017,8,1,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2017,9,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2018,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2018,6,0,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2018,7,2,8,1,1,8,3,0,8,3,0,8,1,8,8,1
2018,8,2,8,1,1,8,3,0,8,3,0,8,1,5,8,1
2018,9,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2019,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2019,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2019,7,1,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2019,8,3,8,1,2,8,3,0,8,3,0,8,1,9,8,1
2019,9,1,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2020,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2020,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2020,7,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2020,8,1,8,1,0,8,3,0,8,3,0,8,1,8,8,1
2020,9,2,8,1,2,8,3,0,8,3,0,8,1,3,8,1
2021,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2021,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2021,7,0,8,1,0,8,3,0,8,3,2,8,1,5,8,1
2021,8,2,8,1,0,8,3,1,5,3,1,8,1,5,8,1
2021,9,0,8,1,0,8,3,0,5,3,0,8,1,0,8,1
2022,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2022,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2022,7,0,8,1,0,8,3,0,5,3,0,8,1,2,8,1
2022,8,0,8,1,0,8,3,0,8,3,0,8,1,5,8,1
2022,9,1,8,1,1,5,3,0,8,3,0,8,1,0,8,1
2023,5,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2023,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2023,7,0,8,1,0,8,3,0,8,3,0,8,1,7,8,1
2023,8,18,8,1,8,8,3,4,8,3,3,8,1,20,8,1
2023,9,1,8,1,0,8,3,0,8,3,0,8,1,1,8,1
2024,5,0,8,1,0,8,3,0,5,3,0,8,1,0,8,1
2024,6,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2024,7,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
2024,8,2,8,1,0,8,3,0,5,3,0,8,1,3,8,1
2024,9,0,8,1,0,8,3,0,8,3,0,8,1,0,8,1
