ダウンロードした時刻：2019/08/12 21:03:28

,,,酒田,酒田,酒田
年,月,日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,,,
,,,,,
1993,8,18,22.2,25.7,19.5
1993,8,19,22.4,27.4,19.0
1993,8,20,22.5,25.8,20.5
1993,8,21,23.2,26.4,21.5
1993,8,22,24.2,27.0,22.1
1993,8,23,21.9,24.8,18.2
1993,8,24,23.9,29.8,17.2
1993,8,25,26.3,31.6,21.5
1993,8,26,26.8,31.7,23.5
1993,8,27,26.0,30.9,23.6
1993,8,28,23.0,25.6,20.8
1993,8,29,21.6,25.9,17.3
1993,8,30,20.9,25.8,17.1
1993,8,31,21.2,27.5,14.0
1993,9,1,21.1,26.0,16.9
1993,9,2,20.6,25.6,15.5
1993,9,3,21.4,25.6,17.1
1993,9,4,23.0,28.0,19.6
1993,9,5,20.5,24.0,16.1
1993,9,6,20.3,25.6,14.8
1993,9,7,21.0,25.4,16.9
1993,9,8,19.5,21.9,17.4
1993,9,9,20.0,22.3,17.7
1993,9,10,20.3,22.3,18.9
1993,9,11,19.5,22.6,15.7
1993,9,12,20.2,25.9,14.6
1993,9,13,20.7,23.2,19.3
1993,9,14,20.0,20.8,19.4
1993,9,15,20.4,24.3,17.3
1993,9,16,21.1,26.0,16.2
1993,9,17,21.2,27.6,16.5
1993,9,18,21.9,24.8,19.1
1993,9,19,17.4,23.1,12.3
1993,9,20,18.1,24.1,11.3
1993,9,21,18.4,23.1,12.7
1993,9,22,17.3,22.4,12.2
1993,9,23,18.7,21.4,16.1
1993,9,24,20.0,24.5,16.3
1993,9,25,19.1,23.5,15.5
1993,9,26,18.2,21.6,14.4
1993,9,27,18.1,21.8,13.2
1993,9,28,16.9,21.3,12.5
1993,9,29,19.4,24.6,14.8
1993,9,30,17.8,20.2,16.0
1994,7,1,22.9,26.2,20.7
1994,7,2,22.4,23.5,21.7
1994,7,3,21.1,23.8,19.1
1994,7,4,21.3,23.8,18.2
1994,7,5,23.1,27.1,21.1
1994,7,6,20.8,21.4,20.2
1994,7,7,21.7,25.5,18.6
1994,7,8,21.0,24.3,19.6
1994,7,9,22.2,26.2,19.4
1994,7,10,23.9,27.1,20.5
1994,7,11,23.0,27.1,20.3
1994,7,12,21.1,23.9,18.3
1994,7,13,22.9,27.9,16.8
1994,7,14,26.3,31.4,19.7
1994,7,15,26.9,31.0,22.4
1994,7,16,25.5,28.5,23.8
1994,7,17,24.8,27.8,22.6
1994,7,18,24.3,28.8,20.4
1994,7,19,25.9,30.4,20.3
1994,7,20,26.8,30.3,23.1
1994,7,21,28.4,33.1,23.9
1994,7,22,28.8,33.6,24.4
1994,7,23,28.6,34.1,24.2
1994,7,24,28.2,33.3,24.1
1994,7,25,28.6,33.4,24.2
1994,7,26,28.2,33.4,24.7
1994,7,27,26.6,30.5,23.8
1994,7,28,26.7,30.7,22.3
1994,7,29,28.5,33.3,23.7
1994,7,30,29.2,35.4,24.7
1994,7,31,28.1,31.0,25.6
1994,8,1,28.5,32.6,25.4
1994,8,2,28.0,33.8,24.9
1994,8,3,26.7,28.5,25.6
1994,8,4,28.1,31.4,26.2
1994,8,5,26.8,30.4,23.9
1994,8,6,27.1,31.1,23.3
1994,8,7,27.8,32.4,23.2
1994,8,8,27.8,32.4,23.4
1994,8,9,28.6,34.4,22.4
1994,8,10,29.7,34.1,25.8
1994,8,11,30.7,36.2,25.6
1994,8,12,30.6,37.1,25.5
1994,8,13,30.9,36.8,25.5
1994,8,14,30.9,35.7,26.3
1994,8,15,29.3,34.3,25.4
1994,8,16,29.3,34.6,24.1
1994,8,17,29.4,33.3,25.6
1994,8,18,28.9,32.6,25.3
1994,8,19,25.4,29.8,22.8
1994,8,20,23.7,29.1,21.8
1994,8,21,22.8,26.0,20.7
1994,8,22,24.4,29.7,19.8
1994,8,23,26.1,31.4,20.8
1994,8,24,25.6,30.2,21.9
1994,8,25,25.9,30.7,20.9
1994,8,26,26.8,31.7,22.7
1994,8,27,27.9,33.3,24.5
1994,8,28,27.3,31.9,23.4
1994,8,29,27.6,32.3,24.1
1994,8,30,26.2,30.5,23.1
1994,8,31,27.1,31.4,23.1
1994,9,1,24.4,29.5,21.1
1994,9,2,24.4,29.2,20.3
1994,9,3,24.8,29.8,19.8
1994,9,4,24.4,29.4,20.5
1994,9,5,24.6,30.6,18.7
1994,9,6,25.5,32.7,20.4
1994,9,7,23.2,27.7,19.4
1994,9,8,24.2,27.6,20.4
1994,9,9,22.9,26.9,18.4
1994,9,10,23.3,28.6,18.6
1994,9,11,24.4,30.7,21.1
1994,9,12,23.2,26.3,19.2
1994,9,13,17.9,19.5,16.3
1994,9,14,20.0,23.3,17.4
1994,9,15,21.6,24.2,18.7
1994,9,16,25.5,30.7,20.3
