ダウンロードした時刻：2019/02/27 17:44:22

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(cm),平年値(cm),平年値(cm)
,,,,,,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報
1972,2,1,1972,2,10,10.1,8,,0,0.9,8,1.4,8,3.7,8,4.0,8,-1.8,8,-1.4,8,-4.4,8,,0,15.5,0,8,41.7,0,8,,,1,,,1,7,0,8,22,0,8
1972,2,11,1972,2,20,10.6,8,,0,3.1,8,1.8,8,6.7,8,4.6,8,-0.7,8,-1.1,8,-4.3,8,,0,26.5,0,8,42.2,0,8,,,1,,,1,1,0,8,17,0,8
1972,2,21,1972,2,29,7.9,8,,0,0.8,8,2.6,8,3.0,8,5.9,8,-2.2,8,-0.6,8,-5.1,8,,0,29.5,0,8,30.2,0,8,,,1,,,1,1,0,8,13,0,8
1972,3,1,1972,3,10,7.7,8,,0,3.1,8,3.2,8,6.4,8,6.5,8,-0.3,8,-0.1,8,-2.2,8,,0,32.5,0,8,34.4,0,8,,,1,,,1,3,0,8,10,0,8
1972,3,11,1972,3,20,15.9,8,,0,5.2,8,4.8,8,9.2,8,8.5,8,0.7,8,1.1,8,-3.5,8,,0,46.0,0,8,36.6,0,8,,,1,,,1,2,0,8,5,0,8
1972,3,21,1972,3,31,18.1,8,,0,7.2,8,5.9,8,12.0,8,9.9,8,1.4,8,1.9,8,-2.5,8,,0,71.5,0,8,35.7,0,8,,,1,,,1,0,1,8,2,0,8
1973,1,1,1973,1,10,9.2,8,,0,3.5,8,2.3,8,5.9,8,5.0,8,0.9,8,-0.3,8,-2.2,8,,0,96.0,0,8,65.6,0,8,,,1,,,1,11,0,8,13,0,8
1973,1,11,1973,1,20,7.3,8,,0,2.2,8,1.5,8,5.0,8,4.1,8,-0.4,8,-1.2,8,-4.8,8,,0,51.5,0,8,48.8,0,8,,,1,,,1,10,0,8,17,0,8
1973,1,21,1973,1,31,14.4,8,,0,3.1,8,1.2,8,6.7,8,3.8,8,-0.1,8,-1.4,8,-3.1,8,,0,26.5,0,8,53.7,0,8,,,1,,,1,6,0,8,22,0,8
1973,2,1,1973,2,10,9.5,8,,0,1.3,8,1.4,8,4.4,8,4.0,8,-2.5,8,-1.4,8,-4.8,8,,0,42.0,0,8,41.7,0,8,,,1,,,1,9,0,8,22,0,8
1973,2,11,1973,2,20,11.3,8,,0,4.6,8,1.8,8,8.0,8,4.6,8,0.9,8,-1.1,8,-0.6,8,,0,30.5,0,8,42.2,0,8,,,1,,,1,6,0,8,17,0,8
1973,2,21,1973,2,28,10.2,8,,0,2.3,8,2.6,8,5.8,8,5.9,8,-1.4,8,-0.6,8,-5.3,8,,0,37.0,0,8,30.2,0,8,,,1,,,1,16,0,8,13,0,8
1973,3,1,1973,3,10,5.5,8,,0,1.2,8,3.2,8,3.8,8,6.5,8,-1.4,8,-0.1,8,-3.3,8,,0,18.5,0,8,34.4,0,8,,,1,,,1,4,0,8,10,0,8
1973,3,11,1973,3,20,8.6,8,,0,2.2,8,4.8,8,6.0,8,8.5,8,-1.7,8,1.1,8,-4.5,8,,0,25.5,0,8,36.6,0,8,,,1,,,1,8,0,8,5,0,8
1973,3,21,1973,3,31,17.6,8,,0,5.4,8,5.9,8,9.5,8,9.9,8,0.7,8,1.9,8,-1.3,8,,0,39.5,0,8,35.7,0,8,,,1,,,1,4,0,8,2,0,8
1974,1,1,1974,1,10,10.4,8,,0,2.7,8,2.3,8,4.6,8,5.0,8,0.5,8,-0.3,8,-3.3,8,,0,40.5,0,8,65.6,0,8,,,1,,,1,11,0,8,13,0,8
1974,1,11,1974,1,20,6.4,8,,0,1.0,8,1.5,8,3.4,8,4.1,8,-1.9,8,-1.2,8,-4.1,8,,0,48.5,0,8,48.8,0,8,,,1,,,1,15,0,8,17,0,8
1974,1,21,1974,1,31,5.4,8,,0,0.2,8,1.2,8,2.5,8,3.8,8,-2.9,8,-1.4,8,-8.7,8,,0,51.5,0,8,53.7,0,8,,,1,,,1,42,0,8,22,0,8
1974,2,1,1974,2,10,4.4,8,,0,0.5,8,1.4,8,2.6,8,4.0,8,-2.6,8,-1.4,8,-9.3,8,,0,55.0,0,8,41.7,0,8,,,1,,,1,48,0,8,22,0,8
1974,2,11,1974,2,20,7.0,8,,0,0.9,8,1.8,8,3.7,8,4.6,8,-2.4,8,-1.1,8,-5.4,8,,0,25.5,0,8,42.2,0,8,,,1,,,1,51,0,8,17,0,8
1974,2,21,1974,2,28,8.1,8,,0,0.0,8,2.6,8,2.8,8,5.9,8,-2.8,8,-0.6,8,-6.6,8,,0,42.0,0,8,30.2,0,8,,,1,,,1,26,0,8,13,0,8
1974,3,1,1974,3,10,8.6,8,,0,2.4,8,3.2,8,6.0,8,6.5,8,-1.6,8,-0.1,8,-7.3,8,,0,53.0,0,8,34.4,0,8,,,1,,,1,24,0,8,10,0,8
1974,3,11,1974,3,20,8.6,8,,0,1.5,8,4.8,8,5.1,8,8.5,8,-1.6,8,1.1,8,-4.7,8,,0,22.5,0,8,36.6,0,8,,,1,,,1,3,0,8,5,0,8
1974,3,21,1974,3,31,11.6,8,,0,3.7,8,5.9,8,6.5,8,9.9,8,0.9,8,1.9,8,-0.8,8,,0,44.5,0,8,35.7,0,8,,,1,,,1,1,0,8,2,0,8
1975,1,1,1975,1,10,7.2,8,,0,0.5,8,2.3,8,3.8,8,5.0,8,-2.8,8,-0.3,8,-5.9,8,,0,19.5,0,8,65.6,0,8,,,1,,,1,3,0,8,13,0,8
1975,1,11,1975,1,20,5.6,8,,0,0.2,8,1.5,8,2.3,8,4.1,8,-2.4,8,-1.2,8,-9.1,8,,0,44.5,0,8,48.8,0,8,,,1,,,1,30,0,8,17,0,8
1975,1,21,1975,1,31,8.5,8,,0,1.2,8,1.2,8,4.1,8,3.8,8,-1.5,8,-1.4,8,-7.1,8,,0,53.0,0,8,53.7,0,8,,,1,,,1,18,0,8,22,0,8
1975,2,1,1975,2,10,7.1,8,,0,1.3,8,1.4,8,4.0,8,4.0,8,-2.3,8,-1.4,8,-4.6,8,,0,42.0,0,8,41.7,0,8,,,1,,,1,6,0,8,22,0,8
1975,2,11,1975,2,20,5.4,8,,0,-1.2,8,1.8,8,2.0,8,4.6,8,-5.7,8,-1.1,8,-11.4,8,,0,42.0,0,8,42.2,0,8,,,1,,,1,37,0,8,17,0,8
1975,2,21,1975,2,28,7.3,8,,0,0.8,8,2.6,8,3.5,8,5.9,8,-2.9,8,-0.6,8,-6.6,8,,0,24.5,0,8,30.2,0,8,,,1,,,1,29,0,8,13,0,8
1975,3,1,1975,3,10,10.5,8,,0,2.5,8,3.2,8,5.3,8,6.5,8,-1.7,8,-0.1,8,-6.8,8,,0,37.0,0,8,34.4,0,8,,,1,,,1,28,0,8,10,0,8
1975,3,11,1975,3,20,10.3,8,,0,3.6,8,4.8,8,8.1,8,8.5,8,-0.4,8,1.1,8,-3.1,8,,0,19.5,0,8,36.6,0,8,,,1,,,1,0,1,8,5,0,8
1975,3,21,1975,3,31,13.1,8,,0,5.0,8,5.9,8,8.2,8,9.9,8,1.9,8,1.9,8,-2.4,8,,0,59.0,0,8,35.7,0,8,,,1,,,1,4,0,8,2,0,8
1976,1,1,1976,1,10,10.7,8,,0,3.4,8,2.3,8,6.9,8,5.0,8,-0.1,8,-0.3,8,-4.4,8,,0,58.5,0,8,65.6,0,8,,,1,,,1,16,0,8,13,0,8
1976,1,11,1976,1,20,9.2,8,,0,-0.2,8,1.5,8,2.5,8,4.1,8,-3.1,8,-1.2,8,-5.7,8,,0,42.0,0,8,48.8,0,8,,,1,,,1,34,0,8,17,0,8
1976,1,21,1976,1,31,5.6,8,,0,-0.8,8,1.2,8,1.5,8,3.8,8,-3.6,8,-1.4,8,-7.1,8,,0,42.0,0,8,53.7,0,8,,,1,,,1,11,0,8,22,0,8
1976,2,1,1976,2,10,7.4,8,,0,0.8,8,1.4,8,3.6,8,4.0,8,-3.1,8,-1.4,8,-7.8,8,,0,24.5,0,8,41.7,0,8,,,1,,,1,12,0,8,22,0,8
1976,2,11,1976,2,20,6.7,8,,0,0.3,8,1.8,8,3.5,8,4.6,8,-3.7,8,-1.1,8,-11.6,8,,0,61.0,0,8,42.2,0,8,,,1,,,1,18,0,8,17,0,8
1976,2,21,1976,2,29,11.1,8,,0,3.2,8,2.6,8,7.5,8,5.9,8,-0.8,8,-0.6,8,-7.2,8,,0,47.5,0,8,30.2,0,8,,,1,,,1,0,0,8,13,0,8
