ダウンロードした時刻：2019/02/27 13:55:57

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,平年値(℃),,平年値(℃),,平年値(℃),,,平年値(mm),平年値(mm),,,平年値(時間),平年値(時間),,,平年値(cm),平年値(cm)
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報
2018,12,19,5.2,3.9,1.7,1.1,7.7,6.9,17.0,0,6.6,,0.0,0,1.3,,0,1,4,
2018,12,20,6.7,3.8,4.1,1.1,8.2,6.8,2.0,0,6.5,,1.1,0,1.3,,0,1,5,
2018,12,21,6.3,3.8,2.4,1.0,9.0,6.7,0.0,0,6.4,,7.6,0,1.3,,0,1,5,
2018,12,22,4.8,3.7,1.1,0.9,10.7,6.7,5.5,0,6.4,,1.4,0,1.4,,0,1,5,
2018,12,23,3.6,3.7,0.5,0.9,7.5,6.6,15.0,0,6.4,,3.2,0,1.4,,0,1,5,
2018,12,24,4.0,3.6,1.7,0.8,6.8,6.5,4.5,0,6.4,,0.6,0,1.4,,0,1,5,
2018,12,25,3.1,3.6,1.2,0.8,5.2,6.5,14.5,0,6.4,,0.0,0,1.4,,0,1,5,
2018,12,26,6.2,3.5,3.6,0.7,8.6,6.4,12.5,0,6.4,,0.0,0,1.4,,0,1,5,
2018,12,27,0.3,3.4,-1.5,0.6,4.1,6.2,4.5,0,6.4,,0.0,0,1.3,,4,0,5,
2018,12,28,0.0,3.3,-2.2,0.5,2.1,6.1,6.0,0,6.4,,1.0,0,1.3,,2,0,6,
2018,12,29,-0.1,3.2,-2.0,0.4,2.3,6.0,6.0,0,6.4,,0.4,0,1.3,,2,0,6,
2018,12,30,0.7,3.1,-1.0,0.3,2.5,5.9,5.5,0,6.4,,0.5,0,1.2,,4,0,6,
2018,12,31,2.8,3.0,0.6,0.3,4.1,5.7,3.0,0,6.4,,0.4,0,1.2,,6,0,6,
2019,1,1,3.8,2.8,1.1,0.1,5.1,5.6,0.5,0,6.4,,0.1,0,1.2,,3,0,6,
2019,1,2,2.1,2.7,-0.8,0.0,4.7,5.4,3.5,0,6.4,,0.8,0,1.2,,2,0,7,
2019,1,3,2.5,2.6,-0.3,-0.1,4.7,5.3,2.0,0,6.3,,1.2,0,1.2,,2,0,7,
2019,1,4,4.6,2.5,2.1,-0.2,6.9,5.2,1.0,0,6.3,,0.3,0,1.1,,1,0,7,
2019,1,5,3.7,2.4,-0.7,-0.3,7.0,5.0,13.5,0,6.2,,0.0,0,1.1,,0,1,7,
2019,1,6,2.3,2.3,-0.8,-0.4,4.1,4.9,0.5,0,6.1,,0.6,0,1.2,,0,1,8,
2019,1,7,2.4,2.2,0.7,-0.5,4.8,4.8,6.0,0,6.0,,1.3,0,1.2,,0,1,8,
2019,1,8,2.3,2.1,0.0,-0.6,4.0,4.7,3.0,0,5.8,,0.0,0,1.2,,1,0,8,
2019,1,9,1.8,2.0,-0.5,-0.7,4.5,4.6,1.5,0,5.7,,1.0,0,1.2,,1,0,8,
2019,1,10,4.7,1.9,1.2,-0.8,8.2,4.5,19.5,0,5.6,,0.1,0,1.2,,0,1,9,
2019,1,11,3.4,1.8,1.5,-0.9,6.4,4.5,0.0,0,5.4,,2.1,0,1.2,,0,1,9,
2019,1,12,3.6,1.7,-0.3,-0.9,6.1,4.4,0.0,0,5.3,,0.1,0,1.2,,0,1,9,
2019,1,13,2.4,1.7,0.0,-1.0,5.3,4.3,0,1,5.2,,1.6,0,1.3,,0,1,10,
2019,1,14,2.2,1.6,-0.6,-1.1,6.4,4.2,0,1,5.2,,6.7,0,1.3,,0,1,10,
2019,1,15,3.3,1.6,-1.4,-1.1,8.4,4.2,11.5,0,5.1,,0.5,0,1.3,,0,1,10,
2019,1,16,2.2,1.5,-0.2,-1.2,5.8,4.1,1.0,0,5.0,,1.2,0,1.3,,0,1,10,
2019,1,17,1.2,1.5,-1.5,-1.2,4.5,4.1,11.5,0,5.0,,0.0,0,1.3,,6,0,11,
2019,1,18,1.2,1.4,-1.6,-1.3,2.8,4.0,4.0,0,5.0,,0.2,0,1.3,,4,0,11,
2019,1,19,3.8,1.4,0.9,-1.3,5.7,4.0,1.0,0,4.9,,1.0,0,1.3,,4,0,11,
2019,1,20,2.4,1.4,-0.5,-1.3,4.5,4.0,10.0,0,4.9,,0.0,0,1.3,,1,0,11,
2019,1,21,0.7,1.4,-2.0,-1.3,3.4,3.9,2.0,0,4.9,,0.6,0,1.3,,0,1,11,
2019,1,22,2.3,1.3,-0.1,-1.3,4.2,3.9,3.0,0,4.9,,0.4,0,1.4,,2,0,12,
2019,1,23,2.7,1.3,0.5,-1.3,4.9,3.9,17.5,0,4.8,,0.1,0,1.4,,1,0,12,
2019,1,24,-0.3,1.3,-2.1,-1.4,2.5,3.8,9.0,0,4.8,,0.9,0,1.4,,9,0,12,
2019,1,25,-0.3,1.2,-1.2,-1.4,1.5,3.8,12.0,0,4.8,,1.0,0,1.4,,20,0,12,
2019,1,26,-0.9,1.2,-3.8,-1.4,1.9,3.8,11.0,0,4.8,,2.1,0,1.4,,31,0,13,
2019,1,27,1.9,1.2,-3.3,-1.4,4.3,3.7,6.5,0,4.8,,0.7,0,1.4,,35,0,13,
2019,1,28,2.4,1.2,0.0,-1.5,5.7,3.7,15.5,0,4.8,,0.0,0,1.4,,29,0,13,
2019,1,29,3.2,1.1,0.6,-1.5,4.2,3.7,1.5,0,4.7,,0.4,0,1.4,,20,0,13,
2019,1,30,2.9,1.1,-0.1,-1.5,7.0,3.7,0,1,4.7,,2.4,0,1.4,,14,0,13,
2019,1,31,2.6,1.1,0.1,-1.5,6.2,3.7,4.5,0,4.7,,0.0,0,1.4,,10,0,14,
2019,2,1,-0.7,1.2,-2.6,-1.5,1.8,3.8,4.5,0,4.6,,0.3,0,1.5,,10,0,14,
2019,2,2,3.4,1.2,-1.1,-1.5,5.7,3.8,1.5,0,4.5,,2.7,0,1.5,,10,0,14,
2019,2,3,2.9,1.2,-1.6,-1.5,6.6,3.9,3.0,0,4.5,,1.7,0,1.5,,6,0,14,
2019,2,4,4.7,1.3,0.7,-1.5,10.7,3.9,13.5,0,4.4,,0.2,0,1.5,,2,0,14,
2019,2,5,3.2,1.3,0.4,-1.4,6.4,4.0,0.0,0,4.4,,4.9,0,1.6,,0,1,13,
2019,2,6,3.3,1.4,0.7,-1.4,7.4,4.1,0,1,4.3,,1.5,0,1.6,,0,1,13,
2019,2,7,4.8,1.5,0.0,-1.3,8.8,4.2,30.0,0,4.3,,0.0,0,1.6,,0,1,13,
