ダウンロードした時刻：2025/08/04 21:50:48

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2001,9,33.4,8,1,0,8,1,30.0,8,1,0,8,1,30.8,8,1,0,8,1,26.0,8,1,0,8,1,30.1,8,1,0,8,1
2002,6,30.1,8,1,0,8,1,32.8,8,1,0,8,1,28.0,8,1,0,8,1,28.5,8,1,0,8,1,26.6,8,1,0,8,1
2002,7,35.3,8,1,2,8,1,37.4,8,1,2,8,1,31.0,8,1,0,8,1,30.3,8,1,0,8,1,32.0,8,1,0,8,1
2002,8,35.0,8,1,1,8,1,36.8,8,1,5,8,1,32.5,8,1,0,8,1,30.6,8,1,0,8,1,30.4,8,1,0,8,1
2002,9,35.1,8,1,1,8,1,34.6,8,1,0,8,1,31.5,8,1,0,8,1,28.8,8,1,0,8,1,30.7,8,1,0,8,1
2003,6,31.2,8,1,0,8,1,30.9,8,1,0,8,1,29.3,8,2,0,8,2,27.7,8,1,0,8,1,28.5,8,2,0,8,2
2003,7,28.6,8,1,0,8,1,29.6,8,1,0,8,1,26.1,8,2,0,8,2,26.2,8,1,0,8,1,27.1,8,2,0,8,2
2003,8,33.5,8,1,0,8,1,34.3,8,1,0,8,1,31.0,8,2,0,8,2,29.1,8,1,0,8,1,30.5,8,2,0,8,2
2003,9,33.2,8,1,0,8,1,33.3,8,1,0,8,1,35.3,8,2,1,8,2,27.9,8,1,0,8,1,29.6,8,2,0,8,2
2004,6,31.8,8,1,0,8,1,33.6,8,1,0,8,1,34.4,8,2,0,8,2,30.6,8,1,0,8,1,27.8,8,2,0,8,2
2004,7,36.9,8,1,3,8,1,35.8,8,1,4,8,1,34.2,8,2,0,8,2,33.2,8,1,0,8,1,34.0,8,2,0,8,2
2004,8,35.9,8,1,3,8,1,35.4,8,1,5,8,1,33.9,8,2,0,8,2,33.2,8,1,0,8,1,32.8,8,2,0,8,2
2004,9,31.4,8,1,0,8,1,33.2,8,1,0,8,1,34.1,8,2,0,8,2,28.6,8,1,0,8,1,28.4,8,2,0,8,2
2005,6,31.5,8,1,0,8,1,34.3,8,1,0,8,1,28.4,5,2,0,5,2,31.5,8,1,0,8,1,29.5,8,2,0,8,2
2005,7,33.0,8,1,0,8,1,34.8,8,1,0,8,1,30.1,5,2,0,5,2,30.0,8,1,0,8,1,28.7,8,2,0,8,2
2005,8,34.4,8,1,0,8,1,36.4,8,1,4,8,1,32.3,5,2,0,5,2,31.6,8,1,0,8,1,32.4,8,2,0,8,2
2005,9,31.9,8,1,0,8,1,34.3,8,1,0,8,1,34.1,8,2,0,8,2,30.0,8,1,0,8,1,29.2,8,2,0,8,2
2006,6,29.3,8,1,0,8,1,31.0,8,1,0,8,1,27.6,8,2,0,8,2,26.7,8,1,0,8,1,25.0,8,2,0,8,2
2006,7,30.5,8,1,0,8,1,32.4,8,1,0,8,1,29.8,8,2,0,8,2,30.0,8,1,0,8,1,27.5,8,2,0,8,2
2006,8,37.0,8,1,4,8,1,34.4,8,1,0,8,1,33.6,8,2,0,8,2,32.8,8,1,0,8,1,33.2,8,2,0,8,2
2006,9,33.5,8,1,0,8,1,32.9,8,1,0,8,1,34.6,8,2,0,8,2,26.8,8,1,0,8,1,30.0,8,2,0,8,2
2007,6,30.4,8,1,0,8,1,31.6,8,1,0,8,1,26.8,8,2,0,8,2,28.7,8,1,0,8,1,28.6,8,2,0,8,2
2007,7,29.1,8,1,0,8,1,31.8,8,1,0,8,1,27.6,8,2,0,8,2,30.8,8,1,0,8,1,28.8,8,2,0,8,2
2007,8,37.1,8,1,2,8,1,37.2,8,1,7,8,1,35.0,8,2,1,8,2,34.2,8,1,0,8,1,33.3,8,2,0,8,2
2007,9,34.0,8,1,0,8,1,33.7,8,1,0,8,1,33.5,8,2,0,8,2,31.1,8,1,0,8,1,30.3,8,2,0,8,2
2008,6,30.8,8,1,0,8,1,32.4,8,1,0,8,1,28.8,8,2,0,8,2,26.8,8,1,0,8,1,29.9,8,2,0,8,2
2008,7,32.6,8,1,0,8,1,35.3,8,1,1,8,1,31.3,8,2,0,8,2,31.4,8,1,0,8,1,31.0,5,2,0,5,2
2008,8,33.4,8,1,0,8,1,35.9,8,1,1,8,1,31.9,8,2,0,8,2,31.0,8,1,0,8,1,31.1,8,2,0,8,2
2008,9,33.0,8,1,0,8,1,32.0,8,1,0,8,1,29.5,8,2,0,8,2,29.2,8,1,0,8,1,29.7,8,2,0,8,2
2009,6,33.4,8,1,0,8,1,33.8,8,1,0,8,1,29.9,8,3,0,8,3,31.2,8,1,0,8,1,29.3,8,3,0,8,3
2009,7,33.2,8,1,0,8,1,35.5,8,1,1,8,1,31.0,8,3,0,8,3,29.1,8,1,0,8,1,28.7,8,3,0,8,3
2009,8,32.1,8,1,0,8,1,33.4,8,1,0,8,1,29.5,8,3,0,8,3,30.9,8,1,0,8,1,29.8,8,3,0,8,3
2009,9,28.2,5,1,0,5,1,29.9,8,1,0,8,1,27.0,8,3,0,8,3,26.0,8,1,0,8,1,27.6,8,3,0,8,3
2010,6,31.6,8,1,0,8,1,32.2,8,1,0,8,1,26.3,8,3,0,8,3,31.6,8,1,0,8,1,28.4,8,3,0,8,3
2010,7,33.2,8,1,0,8,1,35.1,8,1,1,8,1,31.4,8,3,0,8,3,32.0,8,1,0,8,1,30.3,8,3,0,8,3
2010,8,34.1,8,1,0,8,1,37.2,8,1,6,8,1,33.7,8,3,0,8,3,34.1,8,1,0,8,1,33.4,8,3,0,8,3
2010,9,33.9,8,1,0,8,1,35.4,8,1,1,8,1,32.1,8,3,0,8,3,31.7,8,1,0,8,1,33.0,8,3,0,8,3
2011,6,31.6,8,1,0,8,1,32.8,8,1,0,8,1,27.4,8,3,0,8,3,30.3,8,1,0,8,1,27.2,8,3,0,8,3
2011,7,34.2,8,1,0,8,1,35.2,8,1,2,8,1,33.0,8,3,0,8,3,30.8,8,1,0,8,1,32.6,8,3,0,8,3
2011,8,35.4,5,1,1,5,1,36.5,5,1,2,5,1,31.9,8,3,0,8,3,33.8,8,1,0,8,1,32.2,8,3,0,8,3
2011,9,35.5,8,1,1,8,1,34.8,8,1,0,8,1,35.2,8,3,1,8,3,32.0,8,1,0,8,1,30.3,8,3,0,8,3
2012,6,30.8,8,1,0,8,1,29.8,8,1,0,8,1,27.3,8,3,0,8,3,30.0,8,1,0,8,1,28.1,8,3,0,8,3
2012,7,34.5,8,1,0,8,1,36.4,8,1,5,8,1,32.8,8,3,0,8,3,32.5,8,1,0,8,1,32.8,8,3,0,8,3
