ダウンロードした時刻：2025/08/04 21:50:04

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1987,1,-5.5,8,1,3,8,1,-9.2,8,1,7,8,1,-4.5,8,1,3,8,1,-13.7,8,1,23,8,1,-5.8,8,1,4,8,1
1987,2,-4.5,8,1,2,8,1,-7.2,8,1,5,8,1,-3.5,5,1,4,5,1,-13.7,8,1,16,8,1,-5.1,8,1,3,8,1
1987,3,-4.7,8,1,0,8,1,-5.9,8,1,0,8,1,-3.6,8,1,0,8,1,-7.2,8,1,4,8,1,-2.8,8,1,1,8,1
1987,11,-0.3,8,1,0,8,1,-2.9,8,1,0,8,1,0.5,8,1,0,8,1,-7.5,8,1,2,8,1,0.2,5,1,0,8,1
1987,12,-4.8,8,1,0,8,1,-6.2,8,1,0,8,1,-4.4,8,1,0,8,1,-12.2,8,1,13,8,1,-3.4,8,1,0,8,1
1988,1,-3.0,8,1,1,8,1,-6.1,8,1,2,8,1,-3.2,8,1,1,8,1,-11.0,8,1,18,8,1,-3.0,8,1,2,8,1
1988,2,-6.2,8,1,6,8,1,-11.9,8,1,8,8,1,-5.4,8,1,7,8,1,-13.6,8,1,27,8,1,-5.6,8,1,5,8,1
1988,3,-4.9,8,1,0,8,1,-5.6,8,1,0,8,1,-3.2,8,1,0,8,1,-11.6,8,1,6,8,1,-3.9,8,1,0,8,1
1988,11,0.1,8,1,0,8,1,-2.3,8,1,0,8,1,-0.2,8,1,0,8,1,-5.2,8,1,1,8,1,1.9,8,1,0,8,1
1988,12,-3.2,8,1,0,8,1,-5.7,8,1,1,8,1,-2.4,8,1,0,8,1,-8.4,8,1,11,8,1,-2.8,8,1,0,8,1
