ダウンロードした時刻：2025/07/26 11:25:28

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
1995,7,3,21.3,8,1,23.0,8,1,19.6,8,1,12.0,0,8,1
1995,7,4,21.8,8,1,26.3,8,1,19.7,8,1,0.0,0,8,1
1995,7,5,21.5,8,1,24.8,8,1,19.2,8,1,0.0,0,8,1
1995,7,6,21.9,8,1,25.6,8,1,18.2,8,1,0.0,0,8,1
1995,7,7,22.5,8,1,25.7,8,1,20.4,8,1,0.0,0,8,1
1995,7,8,22.3,8,1,26.5,8,1,19.2,8,1,0,1,8,1
1995,7,9,21.4,8,1,23.1,8,1,19.9,8,1,33.5,0,8,1
1995,7,10,23.4,8,1,25.5,8,1,22.2,8,1,20.5,0,8,1
1995,7,11,22.4,8,1,23.6,8,1,21.7,8,1,16.0,0,8,1
1995,7,12,23.4,8,1,26.1,8,1,21.9,8,1,0.0,0,8,1
1995,7,13,23.9,8,1,25.9,8,1,22.7,8,1,3.5,0,8,1
1995,7,14,22.0,8,1,24.0,8,1,20.0,8,1,11.0,0,8,1
1995,7,15,21.4,8,1,23.9,8,1,19.3,8,1,0,1,8,1
1995,7,16,20.0,8,1,22.4,8,1,18.4,8,1,35.0,0,8,1
1995,7,17,20.2,8,1,23.2,8,1,19.0,8,1,1.0,0,8,1
1995,7,18,20.9,8,1,23.7,8,1,19.2,8,1,3.0,0,8,1
1995,7,19,21.6,8,1,25.8,8,1,18.2,8,1,3.0,0,8,1
1995,7,20,20.2,8,1,21.4,8,1,19.0,8,1,17.0,0,8,1
1995,7,21,20.2,8,1,21.7,8,1,19.2,8,1,4.0,0,8,1
1995,7,22,22.7,8,1,26.5,8,1,19.7,8,1,0.0,0,8,1
1995,7,23,25.0,8,1,29.7,8,1,21.8,8,1,2.0,0,8,1
1995,7,24,28.5,8,1,33.9,8,1,22.9,8,1,0.0,0,8,1
1995,7,25,25.3,8,1,27.3,8,1,24.2,8,1,0.0,0,8,1
1995,7,26,25.9,8,1,28.8,8,1,23.0,8,1,0.5,0,8,1
1995,7,27,25.9,8,1,30.4,8,1,21.6,8,1,0,1,8,1
1995,7,28,25.2,8,1,29.8,8,1,20.4,8,1,0,1,8,1
1995,7,29,26.1,8,1,32.4,8,1,20.5,8,1,0,1,8,1
1995,7,30,26.8,8,1,32.3,8,1,20.5,8,1,0,1,8,1
1995,7,31,26.8,8,1,30.8,8,1,23.4,8,1,0.0,0,8,1
1996,6,1,16.3,8,1,19.7,8,1,11.6,8,1,0,1,8,1
1996,6,2,18.1,8,1,24.5,8,1,10.7,8,1,0,1,8,1
1996,6,3,21.1,8,1,26.5,8,1,15.6,8,1,6.0,0,8,1
1996,6,4,17.6,8,1,21.0,8,1,13.9,8,1,8.5,0,8,1
1996,6,5,15.9,8,1,19.3,8,1,12.8,8,1,0.0,0,8,1
1996,6,6,15.6,8,1,19.9,8,1,10.5,8,1,0,1,8,1
1996,6,7,19.6,8,1,26.4,8,1,13.1,8,1,0,1,8,1
1996,6,8,19.9,8,1,24.7,8,1,16.3,8,1,0,1,8,1
1996,6,9,20.1,8,1,25.0,8,1,15.5,8,1,0,1,8,1
1996,6,10,20.5,8,1,25.1,8,1,16.8,8,1,0.0,0,8,1
1996,6,11,17.6,8,1,18.9,8,1,16.1,8,1,22.0,0,8,1
1996,6,12,16.8,8,1,19.2,8,1,14.7,8,1,0.0,0,8,1
1996,6,13,18.2,8,1,23.1,8,1,12.4,8,1,0,1,8,1
1996,6,14,22.4,8,1,31.2,8,1,15.3,8,1,10.5,0,8,1
1996,6,15,20.8,8,1,23.7,8,1,18.1,8,1,11.5,0,8,1
1996,6,16,18.8,8,1,20.5,8,1,17.6,8,1,2.0,0,8,1
1996,6,17,20.2,8,1,23.6,8,1,16.7,8,1,7.0,0,8,1
1996,6,18,21.1,8,1,24.9,8,1,18.9,8,1,70.0,0,8,1
1996,6,19,16.6,8,1,19.1,8,1,15.1,8,1,74.0,0,8,1
1996,6,20,16.6,8,1,19.7,8,1,14.5,8,1,1.5,0,8,1
1996,6,21,17.3,8,1,19.0,8,1,15.0,8,1,6.5,0,8,1
1996,6,22,18.6,8,1,19.8,8,1,17.3,8,1,2.0,0,8,1
1996,6,23,21.0,8,1,25.8,8,1,18.3,8,1,0.5,0,8,1
1996,6,24,21.1,8,1,24.3,8,1,18.7,8,1,2.0,0,8,1
1996,6,25,19.5,8,1,21.3,8,1,17.7,8,1,7.0,0,8,1
1996,6,26,18.8,8,1,21.4,8,1,17.2,8,1,1.0,0,8,1
1996,6,27,20.4,8,1,24.6,8,1,16.9,8,1,0,1,8,1
1996,6,28,19.0,8,1,21.7,8,1,17.0,8,1,16.5,0,8,1
1996,6,29,18.4,8,1,21.3,8,1,16.6,8,1,5.5,0,8,1
1996,6,30,20.4,8,1,23.2,8,1,17.4,8,1,12.5,0,8,1
1996,7,1,22.6,8,1,27.5,8,1,18.0,8,1,0,1,8,1
1996,7,2,23.4,8,1,28.4,8,1,19.3,8,1,0.0,0,8,1
1996,7,3,19.6,8,1,22.0,8,1,16.9,8,1,37.0,0,8,1
1996,7,4,17.7,8,1,20.5,8,1,15.4,8,1,3.0,0,8,1
1996,7,5,18.9,8,1,23.2,8,1,14.5,8,1,19.0,0,8,1
1996,7,6,17.5,8,1,21.1,8,1,16.7,8,1,4.5,0,8,1
1996,7,7,20.4,8,1,25.0,8,1,15.6,8,1,0.0,0,8,1
1996,7,8,19.8,8,1,21.4,8,1,18.2,8,1,0.0,0,8,1
1996,7,9,21.9,8,1,25.8,8,1,17.9,8,1,0,1,8,1
1996,7,10,23.1,8,1,27.8,8,1,19.0,8,1,0,1,8,1
1996,7,11,20.5,8,1,23.6,8,1,18.7,8,1,0.0,0,8,1
1996,7,12,19.2,8,1,21.2,8,1,18.0,8,1,2.0,0,8,1
1996,7,13,20.9,8,1,24.4,8,1,18.2,8,1,0.0,0,8,1
1996,7,14,21.7,8,1,24.0,8,1,19.1,8,1,8.0,0,8,1
1996,7,15,22.5,8,1,24.8,8,1,20.5,8,1,20.0,0,8,1
1996,7,16,26.8,8,1,32.3,8,1,22.5,8,1,0.5,0,8,1
1996,7,17,23.9,8,1,26.6,8,1,22.7,8,1,28.5,0,8,1
1996,7,18,22.6,8,1,24.1,8,1,21.3,8,1,2.5,0,8,1
1996,7,19,24.8,8,1,28.8,8,1,21.0,8,1,0,1,8,1
1996,7,20,26.5,8,1,32.3,8,1,21.4,8,1,0,1,8,1
1996,7,21,24.9,8,1,28.3,8,1,22.3,8,1,0,1,8,1
1996,7,22,25.5,8,1,29.8,8,1,21.8,8,1,0.5,0,8,1
1996,7,23,22.1,8,1,26.5,8,1,20.0,8,1,41.0,0,8,1
1996,7,24,24.2,8,1,27.8,8,1,21.1,8,1,0.0,0,8,1
1996,7,25,26.4,8,1,31.3,8,1,20.8,8,1,0,1,8,1
1996,7,26,27.2,8,1,32.4,8,1,22.7,8,1,0,1,8,1
1996,7,27,26.7,8,1,29.9,8,1,23.3,8,1,0,1,8,1
1996,7,28,27.2,8,1,30.7,8,1,22.9,8,1,0,1,8,1
1996,7,29,27.4,8,1,30.2,8,1,24.6,8,1,0,1,8,1
1996,7,30,27.3,8,1,30.7,8,1,24.2,8,1,0.0,0,8,1
1996,7,31,27.9,8,1,32.8,8,1,23.4,8,1,0,1,8,1
1997,6,1,17.5,8,1,20.8,8,1,14.1,8,1,0,1,8,1
1997,6,2,19.2,8,1,24.7,8,1,13.8,8,1,8.5,0,8,1
1997,6,3,20.5,8,1,25.5,8,1,16.5,8,1,2.5,0,8,1
1997,6,4,19.0,8,1,22.2,8,1,17.6,8,1,9.5,0,8,1
1997,6,5,16.1,8,1,17.6,8,1,14.8,8,1,1.0,0,8,1
1997,6,6,15.3,8,1,17.6,8,1,13.6,8,1,0.0,0,8,1
1997,6,7,14.9,8,1,16.6,8,1,13.5,8,1,1.0,0,8,1
1997,6,8,16.6,8,1,22.6,8,1,12.9,8,1,0,1,8,1
1997,6,9,16.3,8,1,20.3,8,1,12.7,8,1,4.5,0,8,1
1997,6,10,16.8,8,1,18.6,8,1,15.7,8,1,4.5,0,8,1
1997,6,11,18.5,8,1,22.5,8,1,15.5,8,1,0,1,8,1
1997,6,12,18.9,8,1,22.6,8,1,15.9,8,1,0.0,0,8,1
1997,6,13,18.9,8,1,23.1,8,1,13.9,8,1,0,1,8,1
1997,6,14,19.2,8,1,24.2,8,1,15.0,8,1,0,1,8,1
1997,6,15,19.2,8,1,23.4,8,1,16.2,8,1,0,1,8,1
1997,6,16,20.1,8,1,24.4,8,1,16.0,8,1,0,1,8,1
1997,6,17,20.3,8,1,25.0,8,1,15.5,8,1,0,1,8,1
1997,6,18,21.7,8,1,26.6,8,1,16.6,8,1,0,1,8,1
1997,6,19,23.4,8,1,27.4,8,1,20.4,8,1,0.0,0,8,1
1997,6,20,22.8,8,1,27.7,8,1,19.8,8,1,20.5,0,8,1
1997,6,21,19.0,8,1,21.4,8,1,16.7,8,1,27.5,0,8,1
1997,6,22,21.4,8,1,25.3,8,1,17.9,8,1,0.0,0,8,1
1997,6,23,22.5,8,1,26.6,8,1,18.0,8,1,0,1,8,1
1997,6,24,22.7,8,1,26.2,8,1,18.5,8,1,0,1,8,1
1997,6,25,24.4,8,1,29.7,8,1,18.4,8,1,0.0,0,8,1
1997,6,26,22.9,8,1,24.7,8,1,21.2,8,1,20.5,0,8,1
1997,6,27,21.3,8,1,22.4,8,1,20.1,8,1,11.5,0,8,1
1997,6,28,20.1,8,1,22.8,8,1,18.4,8,1,60.5,0,8,1
1997,6,29,18.8,8,1,21.7,8,1,16.7,8,1,24.0,0,8,1
1997,6,30,20.9,8,1,24.9,8,1,17.1,8,1,0,1,8,1
1997,7,1,23.4,8,1,29.9,8,1,16.5,8,1,0,1,8,1
1997,7,2,22.2,8,1,26.6,8,1,20.0,8,1,5.0,0,8,1
1997,7,3,21.6,8,1,23.3,8,1,19.8,8,1,3.5,0,8,1
1997,7,4,24.5,8,1,27.2,8,1,23.0,8,1,0.0,0,8,1
1997,7,5,21.7,8,1,24.7,8,1,19.0,8,1,75.5,0,8,1
1997,7,6,21.9,8,1,25.9,8,1,18.8,8,1,6.5,0,8,1
1997,7,7,25.3,8,1,32.8,8,1,20.3,8,1,12.5,0,8,1
1997,7,8,20.7,8,1,22.7,8,1,19.5,8,1,5.0,0,8,1
1997,7,9,20.3,8,1,21.5,8,1,19.5,8,1,12.5,0,8,1
1997,7,10,21.8,8,1,25.5,8,1,18.8,8,1,0,1,8,1
1997,7,11,22.3,8,1,26.2,8,1,18.9,8,1,0,1,8,1
1997,7,12,23.1,8,1,28.4,8,1,19.0,8,1,0,1,8,1
1997,7,13,24.8,8,1,28.9,8,1,19.2,8,1,2.0,0,8,1
1997,7,14,22.4,8,1,24.3,8,1,21.0,8,1,111.5,0,8,1
1997,7,15,24.8,8,1,28.5,8,1,22.4,8,1,2.0,0,8,1
1997,7,16,21.0,8,1,24.0,8,1,18.9,8,1,25.0,0,8,1
1997,7,17,21.3,8,1,24.1,8,1,18.8,8,1,0,1,8,1
1997,7,18,20.6,8,1,24.4,8,1,16.9,8,1,0,1,8,1
1997,7,19,21.7,8,1,25.9,8,1,16.4,8,1,0,1,8,1
1997,7,20,23.4,8,1,27.2,8,1,18.4,8,1,0,1,8,1
1997,7,21,24.3,8,1,29.0,8,1,19.8,8,1,0,1,8,1
1997,7,22,25.3,8,1,29.9,8,1,20.9,8,1,0,1,8,1
1997,7,23,26.0,8,1,31.6,8,1,21.1,8,1,0,1,8,1
1997,7,24,26.7,8,1,31.1,8,1,21.6,8,1,0,1,8,1
1997,7,25,27.6,8,1,32.6,8,1,23.1,8,1,0,1,8,1
1997,7,26,27.9,8,1,32.5,8,1,22.9,8,1,0,1,8,1
1997,7,27,30.8,8,1,36.1,8,1,27.2,8,1,0.0,0,8,1
1997,7,28,27.4,8,1,31.8,8,1,24.1,8,1,0.0,0,8,1
1997,7,29,26.4,8,1,29.9,8,1,23.5,8,1,0.5,0,8,1
1997,7,30,26.8,8,1,30.8,8,1,23.2,8,1,0.0,0,8,1
1997,7,31,27.2,8,1,31.4,8,1,23.2,8,1,0,1,8,1
1998,6,1,18.8,8,1,24.4,8,1,11.7,8,1,0,1,8,1
1998,6,2,17.8,8,1,22.1,8,1,14.9,8,1,0,1,8,1
1998,6,3,16.1,8,1,17.8,8,1,14.7,8,1,4.0,0,8,1
1998,6,4,17.1,8,1,20.7,8,1,15.0,8,1,23.0,0,8,1
1998,6,5,15.8,8,1,17.8,8,1,14.9,8,1,0.0,0,8,1
1998,6,6,15.2,8,1,17.7,8,1,13.4,8,1,0.0,0,8,1
1998,6,7,16.3,8,1,22.6,8,1,12.5,8,1,0,1,8,1
1998,6,8,19.2,8,1,24.9,8,1,13.4,8,1,0,1,8,1
1998,6,9,20.3,8,1,23.7,8,1,16.9,8,1,0,1,8,1
1998,6,10,20.5,8,1,23.0,8,1,17.3,8,1,0.5,0,8,1
1998,6,11,17.7,8,1,19.8,8,1,16.4,8,1,4.0,0,8,1
1998,6,12,18.3,8,1,21.9,8,1,16.0,8,1,3.0,0,8,1
1998,6,13,20.1,8,1,24.7,8,1,15.8,8,1,0.0,0,8,1
1998,6,14,19.4,8,1,22.0,8,1,17.3,8,1,17.0,0,8,1
1998,6,15,18.9,8,1,21.1,8,1,17.7,8,1,8.5,0,8,1
1998,6,16,17.8,8,1,19.3,8,1,17.0,8,1,10.0,0,8,1
1998,6,17,18.3,8,1,22.0,8,1,16.5,8,1,0.0,0,8,1
1998,6,18,19.6,8,1,24.7,8,1,14.6,8,1,0,1,8,1
1998,6,19,22.1,8,1,26.0,8,1,18.3,8,1,6.5,0,8,1
1998,6,20,18.5,8,1,23.1,8,1,16.5,8,1,0.5,0,8,1
1998,6,21,17.2,8,1,19.2,8,1,15.4,8,1,0.0,0,8,1
1998,6,22,18.5,8,1,24.0,8,1,15.4,8,1,0.0,0,8,1
1998,6,23,19.5,8,1,25.2,8,1,15.1,8,1,0,1,8,1
1998,6,24,21.1,8,1,25.1,8,1,16.0,8,1,0,1,8,1
1998,6,25,21.8,8,1,24.4,8,1,19.1,8,1,7.5,0,8,1
1998,6,26,22.9,8,1,24.8,8,1,21.0,8,1,52.0,0,8,1
1998,6,27,22.2,8,1,25.7,8,1,20.8,8,1,47.0,0,8,1
1998,6,28,20.8,8,1,23.2,8,1,19.7,8,1,0.0,0,8,1
1998,6,29,19.3,8,1,21.3,8,1,17.8,8,1,0.0,0,8,1
1998,6,30,19.4,8,1,22.2,8,1,17.5,8,1,0,1,8,1
1998,7,1,22.9,8,1,29.2,8,1,16.6,8,1,0.0,0,8,1
1998,7,2,24.6,8,1,26.5,8,1,23.0,8,1,0.0,0,8,1
1998,7,3,24.4,8,1,30.4,8,1,21.8,8,1,29.5,0,8,1
1998,7,4,21.4,8,1,22.6,8,1,20.0,8,1,35.0,0,8,1
1998,7,5,21.7,8,1,24.3,8,1,19.7,8,1,0.5,0,8,1
1998,7,6,23.0,8,1,26.3,8,1,19.5,8,1,0.0,0,8,1
1998,7,7,22.1,8,1,23.9,8,1,21.3,8,1,16.0,0,8,1
1998,7,8,24.2,8,1,27.3,8,1,21.0,8,1,1.5,0,8,1
1998,7,9,23.2,8,1,24.3,8,1,22.4,8,1,3.5,0,8,1
1998,7,10,23.3,8,1,26.0,8,1,20.8,8,1,0.0,0,8,1
1998,7,11,20.9,8,1,22.9,8,1,19.4,8,1,0.0,0,8,1
1998,7,12,20.7,8,1,23.4,8,1,18.2,8,1,0.0,0,8,1
1998,7,13,21.2,8,1,25.4,8,1,18.0,8,1,0,1,8,1
1998,7,14,20.4,8,1,23.9,8,1,17.2,8,1,0,1,8,1
1998,7,15,21.4,8,1,26.3,8,1,15.8,8,1,0,1,8,1
1998,7,16,22.3,8,1,29.1,8,1,16.3,8,1,0,1,8,1
1998,7,17,23.2,8,1,29.4,8,1,17.9,8,1,0,1,8,1
1998,7,18,22.4,8,1,26.4,8,1,18.2,8,1,0,1,8,1
1998,7,19,24.1,8,1,30.3,8,1,17.2,8,1,0,1,8,1
1998,7,20,26.2,8,1,32.9,8,1,20.1,8,1,0,1,8,1
1998,7,21,25.7,8,1,31.8,8,1,21.2,8,1,0,1,8,1
1998,7,22,24.3,8,1,29.2,8,1,20.7,8,1,0.0,0,8,1
1998,7,23,24.4,8,1,28.5,8,1,20.7,8,1,13.5,0,8,1
1998,7,24,27.2,8,1,32.2,8,1,23.4,8,1,0.5,0,8,1
1998,7,25,28.5,8,1,34.0,8,1,23.8,8,1,0.0,0,8,1
1998,7,26,29.6,8,1,35.1,8,1,25.6,8,1,0,1,8,1
1998,7,27,29.3,8,1,35.1,8,1,25.5,8,1,0,1,8,1
1998,7,28,28.7,8,1,33.8,8,1,24.9,8,1,0.0,0,8,1
1998,7,29,27.6,8,1,32.6,8,1,24.8,8,1,1.5,0,8,1
1998,7,30,22.9,8,1,25.0,8,1,21.8,8,1,87.0,0,8,1
1998,7,31,22.9,8,1,26.8,8,1,20.4,8,1,25.0,0,8,1
1999,6,1,19.7,8,1,25.0,8,1,14.8,8,1,0,1,8,1
1999,6,2,19.7,8,1,25.0,8,1,13.7,8,1,0,1,8,1
1999,6,3,19.8,8,1,22.9,8,1,17.3,8,1,0.0,0,8,1
1999,6,4,19.5,8,1,22.7,8,1,17.8,8,1,4.5,0,8,1
1999,6,5,19.1,8,1,21.8,8,1,16.3,8,1,0.0,0,8,1
1999,6,6,19.6,8,1,24.4,8,1,15.0,8,1,0.0,0,8,1
1999,6,7,18.2,8,1,19.9,8,1,16.7,8,1,12.5,0,8,1
1999,6,8,17.0,8,1,19.3,8,1,15.2,8,1,0.5,0,8,1
1999,6,9,16.4,8,1,19.4,8,1,12.4,8,1,27.5,0,8,1
1999,6,10,17.2,8,1,22.2,8,1,11.3,8,1,0,1,8,1
1999,6,11,20.8,8,1,25.2,8,1,15.7,8,1,0.0,0,8,1
1999,6,12,20.8,8,1,25.2,8,1,16.1,8,1,0,1,8,1
1999,6,13,22.6,8,1,29.2,8,1,15.6,8,1,0,1,8,1
1999,6,14,23.0,8,1,28.7,8,1,17.3,8,1,0,1,8,1
1999,6,15,24.2,8,1,29.6,8,1,18.9,8,1,0.0,0,8,1
1999,6,16,21.0,8,1,23.9,8,1,17.0,8,1,24.0,0,8,1
1999,6,17,17.3,8,1,19.9,8,1,14.6,8,1,18.5,0,8,1
1999,6,18,17.5,8,1,18.9,8,1,16.1,8,1,2.0,0,8,1
1999,6,19,19.9,8,1,25.2,8,1,15.7,8,1,0.0,0,8,1
1999,6,20,19.2,8,1,23.1,8,1,16.3,8,1,0.5,0,8,1
1999,6,21,19.0,8,1,22.7,8,1,15.3,8,1,0,1,8,1
1999,6,22,21.5,8,1,26.5,8,1,14.9,8,1,0,1,8,1
1999,6,23,21.9,8,1,26.4,8,1,18.1,8,1,0.0,0,8,1
1999,6,24,21.3,8,1,28.7,8,1,17.9,8,1,12.5,0,8,1
1999,6,25,19.6,8,1,23.2,8,1,17.5,8,1,0.0,0,8,1
1999,6,26,21.0,8,1,24.8,8,1,15.7,8,1,0,1,8,1
1999,6,27,20.3,8,1,21.3,8,1,19.6,8,1,12.5,0,8,1
1999,6,28,22.3,8,1,27.9,8,1,19.6,8,1,0.0,0,8,1
1999,6,29,22.1,8,1,27.3,8,1,18.4,8,1,1.0,0,8,1
1999,6,30,19.8,8,1,23.2,8,1,18.3,8,1,19.5,0,8,1
1999,7,1,20.0,8,1,23.3,8,1,17.7,8,1,8.5,0,8,1
1999,7,2,19.2,8,1,22.3,8,1,17.0,8,1,8.5,0,8,1
1999,7,3,21.4,8,1,23.3,8,1,19.3,8,1,20.5,0,8,1
1999,7,4,19.0,8,1,21.0,8,1,17.9,8,1,5.0,0,8,1
1999,7,5,19.4,8,1,22.4,8,1,17.2,8,1,0.0,0,8,1
1999,7,6,21.3,8,1,25.5,8,1,17.9,8,1,0,1,8,1
1999,7,7,21.3,8,1,25.5,8,1,16.3,8,1,0,1,8,1
1999,7,8,22.2,8,1,29.7,8,1,17.0,8,1,0,1,8,1
1999,7,9,21.5,8,1,27.2,8,1,16.8,8,1,0,1,8,1
1999,7,10,23.7,8,1,29.3,8,1,16.6,8,1,0.0,0,8,1
1999,7,11,25.5,8,1,30.7,8,1,21.7,8,1,1.0,0,8,1
1999,7,12,25.2,8,1,27.5,8,1,22.8,8,1,0.5,0,8,1
1999,7,13,25.7,8,1,31.4,8,1,21.1,8,1,2.5,0,8,1
1999,7,14,25.5,8,1,28.3,8,1,22.3,8,1,0.0,0,8,1
1999,7,15,23.6,8,1,26.5,8,1,21.7,8,1,18.5,0,8,1
1999,7,16,23.6,8,1,27.9,8,1,20.5,8,1,33.5,0,8,1
1999,7,17,24.6,8,1,28.5,8,1,20.5,8,1,3.5,0,8,1
1999,7,18,24.6,8,1,27.1,8,1,22.7,8,1,0.0,0,8,1
1999,7,19,24.9,8,1,29.9,8,1,21.0,8,1,0.0,0,8,1
1999,7,20,25.8,8,1,30.1,8,1,22.0,8,1,0,1,8,1
1999,7,21,24.9,8,1,27.3,8,1,23.0,8,1,0.0,0,8,1
1999,7,22,24.8,8,1,26.7,8,1,23.8,8,1,12.5,0,8,1
1999,7,23,27.8,8,1,33.1,8,1,23.3,8,1,0.0,0,8,1
1999,7,24,24.9,8,1,28.0,8,1,22.1,8,1,58.5,0,8,1
1999,7,25,26.6,8,1,31.5,8,1,22.7,8,1,0.0,0,8,1
1999,7,26,28.3,8,1,33.6,8,1,22.5,8,1,0,1,8,1
1999,7,27,29.5,8,1,34.5,8,1,22.9,8,1,0,1,8,1
1999,7,28,29.1,8,1,33.5,8,1,25.3,8,1,0.0,0,8,1
1999,7,29,28.3,8,1,32.8,8,1,25.0,8,1,0.0,0,8,1
1999,7,30,29.0,8,1,34.4,8,1,24.5,8,1,0.0,0,8,1
1999,7,31,28.5,8,1,34.5,8,1,24.1,8,1,0.0,0,8,1
2000,6,1,17.7,8,1,21.2,8,1,14.9,8,1,0.5,0,8,1
2000,6,2,15.8,8,1,18.7,8,1,13.4,8,1,0.0,0,8,1
2000,6,3,15.9,8,1,20.3,8,1,10.9,8,1,0,1,8,1
2000,6,4,15.0,8,1,17.8,8,1,13.3,8,1,0.0,0,8,1
2000,6,5,16.4,8,1,19.7,8,1,12.9,8,1,0,1,8,1
2000,6,6,20.6,8,1,26.9,8,1,13.4,8,1,0,1,8,1
2000,6,7,20.4,8,1,23.5,8,1,17.7,8,1,0.0,0,8,1
2000,6,8,22.7,8,1,30.0,8,1,17.3,8,1,0,1,8,1
2000,6,9,17.7,8,1,20.1,8,1,16.5,8,1,8.0,0,8,1
2000,6,10,16.1,8,1,18.5,8,1,14.2,8,1,1.5,0,8,1
2000,6,11,16.7,8,1,19.4,8,1,14.7,8,1,4.0,0,8,1
2000,6,12,17.7,8,1,20.6,8,1,14.7,8,1,0.0,0,8,1
2000,6,13,19.3,8,1,24.3,8,1,16.3,8,1,0.0,0,8,1
2000,6,14,18.0,8,1,19.6,8,1,16.8,8,1,6.0,0,8,1
2000,6,15,20.8,8,1,26.4,8,1,14.5,8,1,0,1,8,1
2000,6,16,21.7,8,1,27.4,8,1,16.4,8,1,0,1,8,1
2000,6,17,21.5,8,1,26.2,8,1,17.3,8,1,0,1,8,1
2000,6,18,20.7,8,1,24.6,8,1,17.3,8,1,0,1,8,1
2000,6,19,20.8,8,1,24.4,8,1,17.6,8,1,0,1,8,1
2000,6,20,21.9,8,1,26.8,8,1,16.1,8,1,0,1,8,1
2000,6,21,22.3,8,1,25.9,8,1,19.3,8,1,0.0,0,8,1
2000,6,22,22.6,8,1,26.5,8,1,18.8,8,1,0,1,8,1
2000,6,23,22.9,8,1,26.7,8,1,20.5,8,1,0.0,0,8,1
2000,6,24,20.8,8,1,22.4,8,1,19.4,8,1,4.0,0,8,1
2000,6,25,21.8,8,1,26.5,8,1,18.2,8,1,0,1,8,1
2000,6,26,22.4,8,1,28.5,8,1,17.4,8,1,0,1,8,1
2000,6,27,21.2,8,1,23.5,8,1,19.5,8,1,26.0,0,8,1
2000,6,28,20.2,8,1,23.6,8,1,18.2,8,1,26.0,0,8,1
2000,6,29,20.5,8,1,25.1,8,1,17.7,8,1,0.5,0,8,1
2000,6,30,24.8,8,1,27.9,8,1,20.0,8,1,0.0,0,8,1
2000,7,1,24.5,8,1,28.1,8,1,23.0,8,1,7.5,0,8,1
2000,7,2,24.6,8,1,27.8,8,1,22.8,8,1,0.0,0,8,1
2000,7,3,23.1,8,1,24.9,8,1,21.1,8,1,0.0,0,8,1
